Row_Col_Event,EventTime,ConfidenceIndex,QualityLevel
r1_c1_ev1,0.055011,0.99992,High
r1_c1_ev2,0.11738,0.93228,High
r1_c1_ev3,0.15602,0.99918,High
r1_c1_ev4,0.26,0.99964,High
r1_c1_ev5,0.357,0.99954,High
r1_c1_ev6,0.462,0.99971,High
r1_c1_ev7,0.566,0.9998,High
r1_c1_ev8,0.67,0.99959,High
r1_c1_ev9,0.7699,0.99812,High
r1_c1_ev10,0.796,0.78952,Indeterminant
r1_c1_ev11,0.87601,0.99928,High
r1_c1_ev12,0.9791,0.99922,High
r1_c2_ev1,0.051126,0.99937,High
r1_c2_ev2,0.151,0.9997,High
r1_c2_ev3,0.25697,0.99994,High
r1_c2_ev4,0.301,0.7897,Indeterminant
r1_c2_ev5,0.35695,0.9995,High
r1_c2_ev6,0.566,0.99966,High
r1_c2_ev7,0.671,0.99966,High
r1_c2_ev8,0.772,0.99958,High
r1_c2_ev9,0.877,0.99945,High
r1_c2_ev10,0.94036,0.93248,High
r1_c2_ev11,0.97808,0.99758,High
r1_c3_ev1,0.049098,0.99973,High
r1_c3_ev2,0.151,0.99955,High
r1_c3_ev3,0.21338,0.93172,High
r1_c3_ev4,0.26097,0.99966,High
r1_c3_ev5,0.362,0.99965,High
r1_c3_ev6,0.461,0.99974,High
r1_c3_ev7,0.56499,0.99973,High
r1_c3_ev8,0.632,0.7891,Indeterminant
r1_c3_ev9,0.66898,0.99855,High
r1_c3_ev10,0.774,0.99959,High
r1_c3_ev11,0.875,0.99966,High
r1_c3_ev12,0.97712,0.99534,High
r1_c4_ev1,0.055093,0.99888,High
r1_c4_ev2,0.084415,0.93121,High
r1_c4_ev3,0.151,0.99952,High
r1_c4_ev4,0.26,0.99972,High
r1_c4_ev5,0.363,0.99968,High
r1_c4_ev6,0.46499,0.99969,High
r1_c4_ev7,0.564,0.99963,High
r1_c4_ev8,0.673,0.99965,High
r1_c4_ev9,0.771,0.99967,High
r1_c4_ev10,0.87599,0.99932,High
r1_c4_ev11,0.915,0.78862,Indeterminant
r1_c4_ev12,0.97507,0.93878,High
r1_c5_ev1,0.362,0.99964,High
r1_c5_ev2,0.46,0.99955,High
r1_c5_ev3,0.642,0.78937,Indeterminant
r1_c5_ev4,0.82638,0.93182,High
r1_c5_ev5,0.975,0.99617,High
r1_c6_ev1,0.15301,0.99975,High
r1_c6_ev2,0.46199,0.99975,High
r1_c6_ev3,0.51538,0.9316,High
r1_c6_ev4,0.565,0.99904,High
r1_c6_ev5,0.595,0.78944,Indeterminant
r1_c6_ev6,0.66801,0.99961,High
r1_c6_ev7,0.873,0.99959,High
r1_c7_ev1,0.05293,0.99946,High
r1_c7_ev2,0.157,0.99969,High
r1_c7_ev3,0.258,0.99951,High
r1_c7_ev4,0.357,0.99967,High
r1_c7_ev5,0.46,0.99985,High
r1_c7_ev6,0.54438,0.93131,High
r1_c7_ev7,0.56399,0.99929,High
r1_c7_ev8,0.672,0.99964,High
r1_c7_ev9,0.769,0.99961,High
r1_c7_ev10,0.87499,0.99978,High
r1_c7_ev11,0.934,0.79065,Indeterminant
r1_c7_ev12,0.98004,0.99974,High
r1_c8_ev1,0.055025,0.98758,High
r1_c8_ev2,0.077365,0.93107,High
r1_c8_ev3,0.15499,0.99971,High
r1_c8_ev4,0.314,0.78952,Indeterminant
r1_c8_ev5,0.361,0.9994,High
r1_c8_ev6,0.77,0.99972,High
r1_c9_ev1,0.052458,0.98206,High
r1_c9_ev2,0.155,0.99967,High
r1_c9_ev3,0.26,0.99964,High
r1_c9_ev4,0.357,0.99965,High
r1_c9_ev5,0.466,0.99966,High
r1_c9_ev6,0.567,0.99962,High
r1_c9_ev7,0.77,0.99982,High
r1_c9_ev8,0.817,0.78788,Indeterminant
r1_c9_ev9,0.83641,0.93064,High
r1_c9_ev10,0.87298,0.99956,High
r2_c1_ev1,0.050091,0.99943,High
r2_c1_ev2,0.157,0.99971,High
r2_c1_ev3,0.259,0.99964,High
r2_c1_ev4,0.359,0.99961,High
r2_c1_ev5,0.46499,0.99987,High
r2_c1_ev6,0.493,0.78658,Indeterminant
r2_c1_ev7,0.50838,0.9294,High
r2_c1_ev8,0.56699,0.99994,High
r2_c1_ev9,0.667,0.99975,High
r2_c1_ev10,0.773,0.99968,High
r2_c1_ev11,0.876,0.99967,High
r2_c1_ev12,0.97737,0.98322,High
r2_c2_ev1,0.051085,0.9903,High
r2_c2_ev2,0.153,0.99963,High
r2_c2_ev3,0.261,0.99967,High
r2_c2_ev4,0.36303,0.99952,High
r2_c2_ev5,0.398,0.79559,Indeterminant
r2_c2_ev6,0.40835,0.93412,High
r2_c2_ev7,0.569,0.99967,High
r2_c2_ev8,0.671,0.99965,High
r2_c2_ev9,0.771,0.99968,High
r2_c2_ev10,0.874,0.99969,High
r2_c2_ev11,0.97811,0.999,High
r2_c3_ev1,0.049182,0.99855,High
r2_c3_ev2,0.156,0.9997,High
r2_c3_ev3,0.257,0.99966,High
r2_c3_ev4,0.363,0.99968,High
r2_c3_ev5,0.465,0.99964,High
