# t,s00_00,s00_01,s00_02,s00_03,s00_04,s00_05,s00_06,s00_07,s00_08,s01_00,s01_01,s01_02,s01_03,s01_04,s01_05,s01_06,s01_07,s01_08,s02_00,s02_01,s02_02,s02_03,s02_04,s02_05,s02_06,s02_07,s02_08,s03_00,s03_01,s03_02,s03_03,s03_04,s03_05,s03_06,s03_07,s03_08,s04_00,s04_01,s04_02,s04_03,s04_04,s04_05,s04_06,s04_07,s04_08,s05_00,s05_01,s05_02,s05_03,s05_04,s05_05,s05_06,s05_07,s05_08,s06_00,s06_01,s06_02,s06_03,s06_04,s06_05,s06_06,s06_07,s06_08,s07_00,s07_01,s07_02,s07_03,s07_04,s07_05,s07_06,s07_07,s07_08,s08_00,s08_01,s08_02,s08_03,s08_04,s08_05,s08_06,s08_07,s08_08,s09_00,s09_01,s09_02,s09_03,s09_04,s09_05,s09_06,s09_07,s09_08,s10_00,s10_01,s10_02,s10_03,s10_04,s10_05,s10_06,s10_07,s10_08,s11_00,s11_01,s11_02,s11_03,s11_04,s11_05,s11_06,s11_07,s11_08
0.000000000000000000e+00,-3.778667155910026255e-06,5.255670823916300832e-06,5.978162181690573813e-06,2.153916372244707317e-06,8.884201503524093005e-07,-6.450482703672492437e-06,9.197410026385139075e-06,-5.146640278097358585e-06,-1.997964309330382440e-06,2.629129961170673435e-06,3.760089456915800251e-06,7.252815781851255624e-07,-5.156028659594762970e-06,-5.263663840727552397e-07,-7.845721529484700807e-06,1.664683267459320444e-07,3.822385163545961539e-06,-6.861981289408274861e-06,-2.241759389162591612e-06,-1.480985950016325873e-06,-4.327479249078331990e-06,-7.876084462187678395e-06,-2.904145837824821634e-06,-5.957472822742935154e-06,-2.095149085118563576e-06,-2.395534201564682194e-06,2.956005662959609288e-06,-1.988892518839426902e-06,-2.702197855985205717e-06,1.918319158676367618e-07,-3.810670200913018190e-06,6.171496009432805396e-06,3.616852314190661261e-06,-1.879360797131294495e-06,-5.146349773327067578e-06,-5.179435010743830096e-06,7.977241555488126146e-06,9.118011906156765659e-07,9.178732457118758885e-07,5.177994214707962624e-06,1.804876213000533075e-06,-7.889196620519910322e-07,1.527134484592425753e-06,4.090682601488485123e-06,4.279135993020118565e-06,5.652610650215503373e-07,-7.805259753321673100e-06,-1.612188899667165993e-06,6.245749460218693352e-06,-3.027593732538948594e-06,3.458013099388059196e-07,-3.534137386562339728e-06,2.662673982580324082e-06,-1.980500765872234773e-06,-2.832757808978069426e-06,-4.678611625034112567e-07,1.633920192946616405e-06,7.441324364701816652e-07,-3.047737674868016632e-06,4.703163206713578531e-06,-2.450240456923604371e-06,-2.869172904646437289e-06,-7.396465214640741732e-07,-6.303093889117920977e-08,-6.982084360035894341e-06,-6.573238351681483650e-06,9.261783818682658952e-07,2.274460825947140887e-06,-2.798888228266103945e-06,5.909446272592711989e-06,-3.575651741043660401e-06,-3.488289612890998754e-06,-8.204345621791616828e-07,-4.299924736638631032e-07,2.832336005581289942e-06,-1.177428292019397981e-06,-6.958067850360059708e-06,-7.671117432869618068e-06,8.194896257202327757e-06,-6.066793854682916107e-06,-5.572188027233150549e-06,6.761562568049901612e-06,8.735666057823510493e-07,3.453900125572642985e-06,4.525952763588873097e-07,-3.657161176557922488e-06,3.066239034988540709e-06,-8.064951705198922626e-06,4.150874496454961892e-06,2.573864767936525606e-06,4.253780310013605656e-06,2.850490533270828122e-06,1.186886329568317689e-06,-3.485659255391123435e-06,-2.263584347475477594e-06,-4.206485556528819949e-08,4.085848032953357264e-06,-2.019148514893542541e-08,9.644228904299105707e-07,-1.580721688557138321e-06,1.041268451895026574e-06,1.248224930196210291e-06,2.636540526848154338e-06,-4.388277137795852201e-06,2.284962988145663654e-07,-5.604073464056954641e-07,5.303395973925858276e-06,3.417032705748572155e-06
1.000000000000000021e-03,6.178581005547464922e-02,6.182938735368933431e-02,6.183374954060780887e-02,6.181961702454408930e-02,6.180849046362553445e-02,6.176339847426660923e-02,6.186021318373324113e-02,6.177329840096890817e-02,6.178719118100453600e-02,6.181903372283482218e-02,6.182679309877924662e-02,6.180568961423188457e-02,6.175868320472244211e-02,6.179599031720740820e-02,6.175386530883084091e-02,6.180006235957598987e-02,6.182992936953730229e-02,6.175145995508179997e-02,6.179436947837357863e-02,6.179292677888888891e-02,6.178778889564612298e-02,6.175059710768356080e-02,6.178695468764676402e-02,6.175718040630948091e-02,6.179665909258254264e-02,6.179063205303936962e-02,6.182042079983025157e-02,6.179001028882555313e-02,6.179352834297510699e-02,6.180175447736865890e-02,6.177896710771250965e-02,6.184006011785843360e-02,6.182557480327567634e-02,6.179038788667637339e-02,6.177011177838364481e-02,6.177089850329861576e-02,6.184968377439384324e-02,6.180694453655138226e-02,6.181585385052416198e-02,6.183807282739106626e-02,6.180840814192525845e-02,6.180380875060805662e-02,6.181273446758812212e-02,6.182475650628135172e-02,6.183877035601450384e-02,6.180914595242940901e-02,6.175857140764894060e-02,6.178425773122826065e-02,6.184318554420739633e-02,6.178777491510654973e-02,6.180879216803169401e-02,6.177644186493665146e-02,6.182209016105347232e-02,6.179428420540938882e-02,6.179241465713421200e-02,6.180192448259004545e-02,6.181455089400830077e-02,6.180611125308185794e-02,6.177908102939219659e-02,6.183651758202240306e-02,6.178889670213030816e-02,6.178507506511256298e-02,6.179864201105705890e-02,6.180554905397174503e-02,6.176107223822541181e-02,6.176380090635882197e-02,6.181773490935520143e-02,6.181384899563893698e-02,6.178354258438691765e-02,6.183672515952456233e-02,6.177779741576374523e-02,6.177786009194238814e-02,6.179316994860693107e-02,6.180454543086676827e-02,6.181330923664331983e-02,6.179837407561620394e-02,6.176266041427159320e-02,6.175507199421145094e-02,6.185069291946800746e-02,6.176377592755100815e-02,6.176642541448887358e-02,6.184062793614032022e-02,6.181195651859875545e-02,6.182422175621059973e-02,6.180733968990234639e-02,6.177917697979271733e-02,6.182074011175075351e-02,6.175627199385604060e-02,6.182769752209647113e-02,6.182017951231536662e-02,6.183222742287473872e-02,6.181997911990393113e-02,6.180160852878050642e-02,6.178435327317446935e-02,6.179150357041617025e-02,6.179444200019242051e-02,6.183345683552909922e-02,6.179335158938756983e-02,6.180716913840609422e-02,6.179394176254113941e-02,6.180256824550269673e-02,6.181227198157043107e-02,6.181884885427638837e-02,6.177197594301291061e-02,6.180187181458187545e-02,6.180602312269203868e-02,6.184961378089672696e-02,6.182707405847220200e-02
2.000000000000000042e-03,1.175204639355402897e-01,1.176182204049088381e-01,1.176307179370080086e-01,1.176219837353045805e-01,1.175721967930337258e-01,1.174285014326647003e-01,1.177300479155980600e-01,1.174608210741231312e-01,1.174932714870823292e-01,1.176002204962001974e-01,1.176304564969959110e-01,1.175544623972753361e-01,1.173812634505861652e-01,1.175207813914699861e-01,1.174037906765996037e-01,1.175286576453763304e-01,1.176493405827857969e-01,1.173679351648533042e-01,1.175455602436463465e-01,1.175182109073276970e-01,1.175420306001696974e-01,1.173710960041326745e-01,1.175058801629104838e-01,1.173896045903787544e-01,1.175583336267924384e-01,1.175223013049986470e-01,1.176065696644317260e-01,1.175205635335751786e-01,1.175479977502708606e-01,1.175453987749042611e-01,1.174838989386880334e-01,1.176664776504638271e-01,1.176273385725185028e-01,1.175195306423229696e-01,1.174501622390880518e-01,1.174559369626880512e-01,1.176908948690152529e-01,1.175602114216959121e-01,1.176126285097977286e-01,1.176772663237049821e-01,1.175488892016902376e-01,1.175805363332589615e-01,1.175811523340879877e-01,1.176110014867587372e-01,1.176948729350086320e-01,1.175766340646361846e-01,1.174331599822460437e-01,1.174795495302730364e-01,1.176769373403362823e-01,1.175143905742531136e-01,1.175877904164076976e-01,1.174565269116908256e-01,1.176243394163448558e-01,1.175437543674895391e-01,1.175347128137321367e-01,1.175528674190023520e-01,1.175952797360769325e-01,1.175562753470530547e-01,1.174665553195010786e-01,1.176737342329449432e-01,1.175111557993043926e-01,1.174967400865862682e-01,1.175496199227136357e-01,1.175772455209959794e-01,1.174206852380285521e-01,1.174359549469148334e-01,1.176279614230623799e-01,1.175892379874916988e-01,1.174940439588448432e-01,1.176538729682327505e-01,1.174707630317169266e-01,1.174689160481191402e-01,1.175041373980108134e-01,1.175690950101353910e-01,1.175669142924656435e-01,1.175549580040264885e-01,1.174315136842854906e-01,1.174025023925705791e-01,1.176967128486769293e-01,1.174320840649627218e-01,1.174278312206728514e-01,1.176639402994766881e-01,1.175982734014075770e-01,1.176169286453377233e-01,1.175676634788667962e-01,1.174782695983639658e-01,1.176012055001762480e-01,1.174193125522566550e-01,1.176314073347969058e-01,1.176112739489767745e-01,1.176544566247867130e-01,1.176066443752631502e-01,1.175255310420861843e-01,1.175076384177754368e-01,1.175207986709974894e-01,1.175050362078290805e-01,1.176626481764357635e-01,1.174946340927871397e-01,1.175637194502873878e-01,1.175270386751252477e-01,1.175324471829331391e-01,1.175841838844900594e-01,1.176028402494483788e-01,1.174504425665225255e-01,1.175427017871552987e-01,1.175873911007398326e-01,1.177362648989623839e-01,1.176392120385894996e-01
3.000000000000000062e-03,1.617582583952110187e-01,1.619006789575074823e-01,1.619206791607020746e-01,1.619856512733141574e-01,1.618375567831228379e-01,1.615057673035013575e-01,1.621632127519117283e-01,1.615742950442736747e-01,1.616380531891489225e-01,1.618783612648511394e-01,1.619639158744369811e-01,1.617671683945257621e-01,1.613600353308648760e-01,1.616976671873644189e-01,1.614743620161731841e-01,1.617008446383207954e-01,1.620286892101893972e-01,1.613454783745727483e-01,1.618135316244172228e-01,1.617046353424144989e-01,1.618304071677233169e-01,1.613393620824604968e-01,1.616852232412187285e-01,1.614035965574538434e-01,1.618523170425168189e-01,1.617320037848774261e-01,1.619101013506448750e-01,1.617525124917490176e-01,1.618272979130856715e-01,1.617697653435520300e-01,1.616640752865654007e-01,1.620297584871359386e-01,1.619654010372588160e-01,1.617421644527691771e-01,1.615682925459002439e-01,1.615823447770846910e-01,1.620717991316751316e-01,1.617924208253826157e-01,1.619458221481723248e-01,1.621009671108479822e-01,1.617346283551312214e-01,1.619089593776742719e-01,1.618422271558655201e-01,1.619011233516149117e-01,1.621646239445057036e-01,1.618407492740492892e-01,1.615712334838484698e-01,1.616219509988903458e-01,1.620369699754057591e-01,1.617059151445510434e-01,1.619027499595044883e-01,1.615507158486954864e-01,1.619712234762135383e-01,1.618109397337926247e-01,1.617578486090825718e-01,1.617923372876757804e-01,1.618936417863514055e-01,1.617789427707152783e-01,1.615816447416619506e-01,1.620890865121830948e-01,1.616961417989794259e-01,1.616611536892519352e-01,1.618128681566971816e-01,1.618903214974251048e-01,1.614792380912410119e-01,1.615367378295915479e-01,1.620026839449577594e-01,1.618924221321845214e-01,1.616762009481590157e-01,1.620124189208879406e-01,1.616175448553218708e-01,1.616018173991052020e-01,1.616376024577658166e-01,1.618373731999177834e-01,1.617966119386563817e-01,1.618351904687136134e-01,1.615100816581667709e-01,1.614531266248933339e-01,1.621096892809682777e-01,1.615328766455603471e-01,1.614812243617087528e-01,1.620338912311845014e-01,1.619263168643712281e-01,1.619239881919415369e-01,1.618168478026895674e-01,1.616237812846738620e-01,1.618691716264514247e-01,1.615128365916302655e-01,1.619798289650451195e-01,1.619270155541556733e-01,1.620344618506731338e-01,1.619081722778466514e-01,1.616868666116339504e-01,1.617204350051545392e-01,1.617176341599755873e-01,1.616490020612050549e-01,1.620598396801957719e-01,1.616068216055046580e-01,1.618170612798971175e-01,1.617355140721936924e-01,1.617073646367186146e-01,1.618595186850617651e-01,1.619040011982212368e-01,1.615680905212462659e-01,1.617536093559913679e-01,1.619130343564391394e-01,1.622554104356084270e-01,1.619992139774976969e-01
4.000000000000000083e-03,1.901818967664796189e-01,1.903325723185887719e-01,1.903463294443772935e-01,1.906099775993896350e-01,1.902759781076097945e-01,1.896499695267732377e-01,1.908021166348178588e-01,1.897647952872277555e-01,1.898813953393442555e-01,1.903036319394243447e-01,1.904884864859325844e-01,1.900743753641514766e-01,1.893567342552430199e-01,1.899839648558995231e-01,1.896265669835831280e-01,1.899743408703447600e-01,1.906626335004900918e-01,1.893471398840313735e-01,1.902812086307850148e-01,1.900116505586463278e-01,1.903370810383601952e-01,1.892868195292421174e-01,1.899886842818414856e-01,1.894605992114543336e-01,1.903617455985513740e-01,1.900767856218048835e-01,1.904103541856660697e-01,1.901805317493323322e-01,1.903159105180090571e-01,1.901399646636596497e-01,1.900112690399619608e-01,1.905896535119804835e-01,1.905276326585888524e-01,1.901520005668727031e-01,1.897946691677780406e-01,1.898088785632233433e-01,1.906440559684119962e-01,1.901661139988183591e-01,1.904798049012264849e-01,1.908099055093684382e-01,1.900141016801949745e-01,1.904885284044466054e-01,1.902665637572133472e-01,1.903702521630536160e-01,1.909606540852906709e-01,1.902582534121581292e-01,1.898539765210686403e-01,1.898927981690286815e-01,1.905627837348266573e-01,1.899982894223740393e-01,1.904382847259800671e-01,1.897182812004336860e-01,1.905382341643021837e-01,1.902850844484634540e-01,1.901082201919369608e-01,1.901943418493715066e-01,1.903812677428125266e-01,1.901387038892279890e-01,1.897800788232288927e-01,1.907754998128337598e-01,1.900045069810862852e-01,1.899335188198917890e-01,1.902781546681331926e-01,1.904577974687897690e-01,1.895653292952698687e-01,1.897187042952896141e-01,1.906122755178231432e-01,1.904164158677023877e-01,1.900111413803871885e-01,1.905959941399384128e-01,1.899176161181550249e-01,1.898487466149041958e-01,1.898324482262054858e-01,1.902749838159457918e-01,1.901877035869292409e-01,1.903314160021933599e-01,1.896260097379285359e-01,1.895597553605479213e-01,1.907882772567012220e-01,1.897356655827031335e-01,1.895645713735657212e-01,1.906304289705210431e-01,1.904834423297861734e-01,1.904180853199627099e-01,1.902174676613049564e-01,1.898726957712368324e-01,1.902675686647345155e-01,1.896803063526366073e-01,1.905805507040827240e-01,1.904458427495892281e-01,1.906607919574941912e-01,1.903835483375120596e-01,1.899333856947187094e-01,1.901131558043636094e-01,1.900448959204212862e-01,1.898807757351198278e-01,1.907242686567612588e-01,1.897713639316520040e-01,1.902490520586645750e-01,1.900844785376887558e-01,1.899810870844695077e-01,1.903151622042039970e-01,1.904149098525749761e-01,1.898128051918652748e-01,1.900937806405116892e-01,1.904570127397399448e-01,1.911065059139778199e-01,1.905804141133426444e-01
5.000000000000000104e-03,2.000300626448228147e-01,2.001234275605144608e-01,2.001051195610369648e-01,2.007276212343668542e-01,2.001063981192767460e-01,1.990789920485845355e-01,2.008292339925612513e-01,1.992458314429946253e-01,1.994418946918715130e-01,2.000865041814895440e-01,2.004025254627981867e-01,1.996491616031874916e-01,1.986009157694176297e-01,1.996007828558001296e-01,1.990610001104206606e-01,1.995759479709891815e-01,2.008052918883579396e-01,1.985974748835081793e-01,2.001682724598639884e-01,1.996438093291003912e-01,2.002953865207157957e-01,1.984136628644382339e-01,1.996343934652216323e-01,1.987698035058779733e-01,2.002984523735979738e-01,1.997562146556223217e-01,2.003350478770290488e-01,2.000299745248101391e-01,2.002321681742550985e-01,1.998577519332558894e-01,1.997470716171510507e-01,2.005637056333606505e-01,2.005623533589696028e-01,1.999851948387713907e-01,1.993394046166884204e-01,1.993435700885121675e-01,2.006097124065551462e-01,1.999008907188196960e-01,2.004279223210455319e-01,2.010526419981636115e-01,1.995929895238812979e-01,2.005482542474049112e-01,2.000818898687140857e-01,2.002498496848681697e-01,2.013343618710032312e-01,2.000407930412094193e-01,1.994832317294822910e-01,1.995113274750173471e-01,2.004634857486850275e-01,1.995718804701287208e-01,2.004189181835349942e-01,1.991787425686013524e-01,2.005430244369420800e-01,2.002009093591594069e-01,1.998011669705914983e-01,1.999872989364900600e-01,2.002825849519159762e-01,1.998769323029718492e-01,1.992602922585204051e-01,2.009705664425937011e-01,1.996523115715716223e-01,1.995161040713490930e-01,2.001903036535729596e-01,2.005317359972083602e-01,1.988549951847949915e-01,1.991883756285008911e-01,2.006638582258921388e-01,2.003927511933662198e-01,1.997184346069840466e-01,2.006221912032963850e-01,1.996255912665333143e-01,1.994355090163148492e-01,1.992931686069798758e-01,2.001105693583929424e-01,1.999961576554519505e-01,2.002758891353597082e-01,1.989800445102746507e-01,1.989290933772329961e-01,2.009664971278071477e-01,1.992672990075293471e-01,1.988811447142721511e-01,2.006649104810723505e-01,2.005161664980345815e-01,2.003212017966918834e-01,1.999846563607505234e-01,1.994360346238157333e-01,2.000040067092846707e-01,1.990972511098034470e-01,2.006851383249442233e-01,2.004062116515863134e-01,2.007719715924574655e-01,2.002330258639739291e-01,1.994745005051571651e-01,1.999274117744580803e-01,1.997228551847996525e-01,1.993998329994040586e-01,2.009104452046262812e-01,1.991862457494794347e-01,2.000809204958928778e-01,1.997846970126190003e-01,1.995802144202833139e-01,2.001801287687788033e-01,2.003922560150257770e-01,1.994247191632487481e-01,1.997712949332977050e-01,2.004200906601322774e-01,2.015293041857862122e-01,2.006015402824078697e-01
6.000000000000000125e-03,1.903794737825254546e-01,1.903124380017224282e-01,1.902253386449758443e-01,1.913819312477523793e-01,1.903700431638413182e-01,1.888241026080990093e-01,1.912569510218170565e-01,1.890481187159039345e-01,1.893600660147902459e-01,1.902779289279786235e-01,1.907331486367225271e-01,1.894931607667500462e-01,1.881431109299940840e-01,1.896019890621004067e-01,1.888013583750224045e-01,1.895416242090525449e-01,1.915381507826347807e-01,1.881438495612381967e-01,1.905243641214382222e-01,1.896232730298071378e-01,1.907803333263885237e-01,1.877368345247369119e-01,1.896530957850246502e-01,1.883489283867312014e-01,1.906826111336413498e-01,1.898015045488336827e-01,1.907278454437408011e-01,1.903425050931403795e-01,1.906126383373972777e-01,1.899327292666365408e-01,1.898940066532479876e-01,1.909976130129206195e-01,1.911455802879785115e-01,1.902886420018597147e-01,1.892284950705747371e-01,1.892342210466411712e-01,1.910020605559926143e-01,1.900264550740711489e-01,1.908238534446094758e-01,1.919093502352780534e-01,1.894879582315142086e-01,1.911318325069000512e-01,1.903208721447147700e-01,1.905827929028994505e-01,1.923413440089385418e-01,1.902390165948204259e-01,1.894658939588679258e-01,1.895113674992144337e-01,1.907758758444750014e-01,1.894394526671200063e-01,1.908828400586533580e-01,1.889592822726061105e-01,1.910318318474792665e-01,1.906178609756550013e-01,1.899123454011839851e-01,1.902140647120506844e-01,1.906541572219807301e-01,1.900710555349436615e-01,1.890492703170036648e-01,1.917281119347489515e-01,1.896846817351336700e-01,1.894303966294606234e-01,1.906179749425577219e-01,1.911625569904400190e-01,1.883507783156653237e-01,1.889879152556755149e-01,1.912028360333955235e-01,1.908709266285686657e-01,1.898262582636193463e-01,1.911093365461800642e-01,1.897883181914303552e-01,1.894070040223718165e-01,1.890516592087198022e-01,1.904073572010741844e-01,1.902972438262838517e-01,1.907059750739681647e-01,1.886262563848056795e-01,1.885915852874765208e-01,1.916742085244589056e-01,1.891877383724655526e-01,1.884717958394566406e-01,1.911739576261055062e-01,1.911069922816523159e-01,1.906597773883964009e-01,1.901593487294379048e-01,1.893633519905418006e-01,1.901318659739668071e-01,1.887740855666493467e-01,1.913484351504050884e-01,1.908818653332261805e-01,1.914202703222156465e-01,1.904959493966304762e-01,1.893642888527540258e-01,1.902148312047789724e-01,1.898007619766149401e-01,1.892195390925650866e-01,1.916867277561900285e-01,1.888794494916619937e-01,1.903478845965107524e-01,1.898716683811431383e-01,1.895768465370895328e-01,1.904906710421519211e-01,1.908886407296029597e-01,1.894640326105574424e-01,1.898164002450308807e-01,1.908278375753396650e-01,1.925663311876936457e-01,1.911043654216052490e-01
7.000000000000000146e-03,1.622203961477131362e-01,1.618638350592932762e-01,1.616417879647765732e-01,1.635347236355345901e-01,1.620193963580237595e-01,1.598250584425746634e-01,1.630293317626455296e-01,1.601124811233741729e-01,1.605837480144079454e-01,1.618459958209748639e-01,1.624474598957794114e-01,1.605360299979394501e-01,1.589464730362301903e-01,1.609524749787956122e-01,1.597882385999462029e-01,1.608061622668583435e-01,1.638511832440877336e-01,1.589662478815080382e-01,1.623464435929222738e-01,1.608988601599818657e-01,1.627918647489800252e-01,1.581859579279026873e-01,1.609774679270660758e-01,1.591190434302837686e-01,1.624464345522704523e-01,1.611762759569601577e-01,1.625490132012808453e-01,1.620745342560963864e-01,1.624184180067909378e-01,1.612822986857373742e-01,1.614014095905482171e-01,1.628397013462516973e-01,1.632571189581311089e-01,1.620254674210699630e-01,1.604124826255536318e-01,1.604599367858368930e-01,1.627754691369595330e-01,1.614729094030127043e-01,1.626106805040383463e-01,1.643746108125237471e-01,1.606299595301614591e-01,1.631996215281291684e-01,1.619240082884809417e-01,1.623161932775627758e-01,1.649476015481658175e-01,1.618283655771110829e-01,1.607390006476730471e-01,1.608376358112683369e-01,1.624438053592651976e-01,1.605489024079785054e-01,1.627797379099133190e-01,1.599958913212421452e-01,1.629522569121950870e-01,1.625190255464110944e-01,1.614328859466575283e-01,1.618216058607928887e-01,1.624761434344214328e-01,1.616986414166752262e-01,1.601068343520974380e-01,1.640209738914587267e-01,1.610708572835574393e-01,1.606124599548725829e-01,1.625296532335920308e-01,1.633027970193212941e-01,1.589833887280049651e-01,1.600833738829276487e-01,1.632174401804141473e-01,1.628212388469305882e-01,1.612675856036100697e-01,1.629964503020527311e-01,1.613417299385152825e-01,1.607093470829157600e-01,1.600378739036592557e-01,1.621371126844973198e-01,1.620540860367241931e-01,1.625635573581393212e-01,1.595333403416745177e-01,1.594939432686717784e-01,1.638663906456231667e-01,1.604663173734715564e-01,1.593075105288624393e-01,1.631289661903313759e-01,1.632459751977405338e-01,1.623652565296689332e-01,1.617175460295991463e-01,1.606330618118227138e-01,1.616315663757933174e-01,1.596599855844226534e-01,1.635458634244194576e-01,1.628613587745795788e-01,1.635596057696029892e-01,1.621485789792265764e-01,1.605923072627188919e-01,1.619260850432191201e-01,1.612574768443962026e-01,1.602720564546283866e-01,1.640247487860958531e-01,1.598048540117644467e-01,1.620226065053177456e-01,1.613155497219321000e-01,1.609566179783720186e-01,1.621916832458569213e-01,1.628419062633263414e-01,1.609050710513069971e-01,1.611799540581166368e-01,1.626511636393403459e-01,1.651718007382471376e-01,1.630389014991769081e-01
8.000000000000000167e-03,1.183459278957402216e-01,1.175641456238948196e-01,1.170919960455812231e-01,1.199761021454918974e-01,1.178166319893308306e-01,1.148556794241346046e-01,1.189225081135031475e-01,1.152110661517582457e-01,1.158822306626137583e-01,1.175611427860226293e-01,1.183455787913737373e-01,1.155319895118173124e-01,1.137931808693521257e-01,1.164307796010585760e-01,1.147869562894024004e-01,1.161327914742127931e-01,1.205515130477302771e-01,1.138717679913929387e-01,1.184661706131768660e-01,1.162614721754633984e-01,1.191401498030113526e-01,1.125189780786845506e-01,1.163624960114564427e-01,1.138192044952530818e-01,1.183505320722362808e-01,1.166664726380015477e-01,1.185905635330932045e-01,1.179922503056860666e-01,1.184500915527009202e-01,1.166396806565223460e-01,1.170684648445167175e-01,1.188496351730507633e-01,1.196740707606330917e-01,1.179924286898077074e-01,1.156533148734806421e-01,1.158222058321490139e-01,1.187084754689284316e-01,1.169990392224685427e-01,1.185581982390655903e-01,1.212455520422786454e-01,1.157878374169889757e-01,1.195254729392325049e-01,1.176635548159461475e-01,1.182101553083835382e-01,1.219497878985838502e-01,1.176045308837934400e-01,1.160741013009821410e-01,1.162407087851832777e-01,1.182429650892614231e-01,1.156875624392934149e-01,1.188925898250311058e-01,1.150573793718007581e-01,1.190539673200751852e-01,1.187167064636249214e-01,1.171336668812543030e-01,1.175652497832328086e-01,1.185511922730026757e-01,1.175327095345764794e-01,1.152073558955049454e-01,1.206595835953273299e-01,1.165962239158553487e-01,1.158206218482734778e-01,1.187171301800678258e-01,1.197339151102409932e-01,1.135083262052601488e-01,1.152660957951358589e-01,1.195294259869784381e-01,1.190394125921256235e-01,1.168008950741568491e-01,1.190622780946291315e-01,1.170569040336012778e-01,1.160972322804037643e-01,1.149890374696863754e-01,1.180725134042896057e-01,1.180233824154946071e-01,1.186376639048002113e-01,1.144739597315423130e-01,1.144117995199216836e-01,1.203523270331390976e-01,1.158803172036952239e-01,1.141829705846094389e-01,1.193203172864518019e-01,1.197318624811518628e-01,1.182062380298549847e-01,1.174669219687494853e-01,1.160433806159658632e-01,1.172979660881054847e-01,1.145290947417000327e-01,1.200867873820738868e-01,1.191412395466381474e-01,1.199589821581664717e-01,1.179917113557263919e-01,1.159653594408669858e-01,1.178370287880286388e-01,1.168950019551178027e-01,1.153075145560098769e-01,1.207047238064133526e-01,1.147284107531142128e-01,1.179204964591523686e-01,1.169239811413207292e-01,1.164970112527437957e-01,1.180480116716190880e-01,1.190186618733907881e-01,1.165302089402121405e-01,1.166449764010782791e-01,1.187095412111068699e-01,1.221291103749532619e-01,1.191806998935560080e-01
9.000000000000001055e-03,6.309157888027384919e-02,6.174251003744270216e-02,6.086481124518997032e-02,6.504595849738382951e-02,6.206663364179849929e-02,5.824148188826984429e-02,6.326028409133351016e-02,5.868111066086628691e-02,5.958864509351258915e-02,6.173353853650324907e-02,6.276972291933118064e-02,5.879306892661011891e-02,5.701596005956696689e-02,6.036474631741968466e-02,5.812235187415711740e-02,5.984434706399451714e-02,6.600310805347617271e-02,5.719044360008171402e-02,6.325699811656795846e-02,6.005323099975798384e-02,6.417397098756046081e-02,5.505010758367900880e-02,6.013034910450124754e-02,5.673679705398859685e-02,6.271573591188277230e-02,6.059828971175516832e-02,6.320466846170842701e-02,6.241039932503347765e-02,6.307157472479726912e-02,6.029574599248248984e-02,6.126163160895990722e-02,6.333930533289063025e-02,6.471411438449352349e-02,6.254281045681497897e-02,5.924665441447699021e-02,5.967647841060634561e-02,6.313399585020583460e-02,6.091977766703481068e-02,6.299153310379432269e-02,6.685958782071975415e-02,5.928937067852482062e-02,6.443092671085663692e-02,6.185917799145106838e-02,6.256988645643364599e-02,6.769304090129248108e-02,6.191424021043743370e-02,5.978575570045033261e-02,6.001400763968720020e-02,6.251443790266261735e-02,5.919401754006633348e-02,6.355933065614573219e-02,5.846072094024015037e-02,6.365526393679921124e-02,6.356539197402430452e-02,6.130653086718772932e-02,6.175359734144639928e-02,6.322946908801109489e-02,6.188981500561004795e-02,5.866621557328993014e-02,6.601664769082495055e-02,6.058384652931201458e-02,5.937138735171196974e-02,6.353974523716171552e-02,6.480892685473946258e-02,5.622578593313767165e-02,5.887505063895083490e-02,6.449873397346550519e-02,6.386403134848057939e-02,6.075963305372689832e-02,6.364115859056053426e-02,6.128482522971056418e-02,5.988275226262854828e-02,5.821314786734036600e-02,6.252511816112051035e-02,6.251162163841970931e-02,6.329928684777787196e-02,5.776587871637609700e-02,5.767211393095629524e-02,6.549858580224082738e-02,5.975524405972404418e-02,5.743659802679629972e-02,6.408397043377073166e-02,6.491150101080760126e-02,6.251734737145388243e-02,6.174658856743115570e-02,5.992957294524701300e-02,6.147267710959018056e-02,5.769918150814330737e-02,6.532010522928742569e-02,6.405662982425429364e-02,6.494759445910085194e-02,6.238080592455773343e-02,5.982014764757789815e-02,6.229795096748182853e-02,6.105620025151734659e-02,5.861704123140387690e-02,6.604851701287209331e-02,5.794954113173120258e-02,6.240600208706798685e-02,6.105018316837360765e-02,6.050642083012584826e-02,6.237377354342159286e-02,6.374736701574752751e-02,6.065899449847445002e-02,6.054939687739795129e-02,6.336430999478775972e-02,6.776819501279904290e-02,6.387452954779243575e-02
